Engineering_Branch,Student_Status,CGPA,Python_Proficiency,CPP_Proficiency,Java_Proficiency,MATLAB_Proficiency,DSA_Understanding,Database_SQL_Understanding,OOP_Understanding,OS_Understanding,Technical_Tools,Project_Count,Project_Domain,Internship_Experience,Preparation_Domain,Confidence_Level,Job_Role
AI,4th year student,7.0,4,2,2,3,5,5,3,5,ANSYS / Simulation tools,1-2,Software Development,Software Development Internship,Software Development,3.0,DevOps Engineer
Chemical,4th year student,8.13,5,5,2,4,3,5,5,3,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Circuit design tools; Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); MATLAB / Simulink; Machine Learning / Deep Learning,5+,Data Science / AI,Electronics / Embedded Internship,Data Science / AI,2.0,Data Scientist
Mechanical,4th year student,7.17,3,2,1,5,1,1,1,3,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD),5+,Core Engineering,No internship,Core Engineering,5.0,Manufacturing Engineer
CSE,Alumni (Graduated),8.42,5,3,3,3,4,4,3,4,ANSYS / Simulation tools; Circuit design tools; Data Analysis (Python / Excel / Pandas); MATLAB / Simulink; Machine Learning / Deep Learning,3-4,Data Science / AI,Data Science / AI Internship,Data Science / AI,2.0,Machine Learning Engineer
AI,4th year student,5.52,2,1,3,3,2,5,3,3,Circuit design tools; Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau),5+,Data Science / AI,Data Science / AI Internship,Data Science / AI,3.0,Data Analyst
Civil,Alumni (Graduated),8.46,1,2,1,3,2,1,2,2,CAD tools (SolidWorks / CATIA / AutoCAD); Circuit design tools,3-4,Robotics / Embedded Systems,Core Engineering Internship,Core Engineering,2.0,Civil Engineer
Electrical,Alumni (Graduated),7.15,4,1,2,1,3,3,3,1,ANSYS / Simulation tools; Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau),3-4,Data Science / AI,Data Science / AI Internship,Data Science / AI,2.0,Data Analyst
AI,Alumni (Graduated),7.05,3,4,5,3,4,4,4,4,CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas),5+,Software Development,No internship,Software Development,5.0,Software Developer
AI,Alumni (Graduated),8.0,5,4,4,3,4,3,5,4,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Machine Learning / Deep Learning,3-4,Data Science / AI,Data Science / AI Internship,Data Science / AI,4.0,Data Scientist
ECE,Alumni (Graduated),7.14,4,5,4,1,4,4,4,2,Data Analysis (Python / Excel / Pandas),3-4,Software Development,Software Development Internship,Software Development,4.0,Software Developer
Mechanical,Alumni (Graduated),5.24,2,1,1,5,2,2,1,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Circuit design tools; Data Analysis (Python / Excel / Pandas),0,Core Engineering,Core Engineering Internship,Core Engineering,4.0,Civil Engineer
CSE,4th year student,5.87,4,2,3,2,2,4,4,2,ANSYS / Simulation tools; Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); MATLAB / Simulink,3-4,Data Science / AI,Data Science / AI Internship,Data Science / AI,3.0,Data Analyst
Civil,Alumni (Graduated),8.51,2,1,1,3,2,2,1,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); MATLAB / Simulink; Machine Learning / Deep Learning,1-2,Core Engineering,Core Engineering Internship,Core Engineering,3.0,Mechanical Design Engineer
CSE,4th year student,8.06,5,3,2,2,4,3,2,4,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Machine Learning / Deep Learning,3-4,Data Science / AI,Data Science / AI Internship,Data Science / AI,4.0,Data Scientist
Mechanical,Alumni (Graduated),6.78,1,2,1,3,2,2,3,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Embedded systems / microcontrollers; MATLAB / Simulink,1-2,Core Engineering,Core Engineering Internship,Core Engineering,2.0,Mechanical Design Engineer
AI,4th year student,6.73,4,5,5,1,4,3,5,3,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD),3-4,Software Development,Software Development Internship,Software Development,3.0,Software Developer
ECE,Alumni (Graduated),6.97,3,5,4,1,3,3,5,3,Data Analysis (Python / Excel / Pandas),3-4,Software Development,Software Development Internship,Core Engineering,5.0,Software Developer
CSE,Alumni (Graduated),8.14,3,2,3,1,3,4,1,2,ANSYS / Simulation tools; Data Analysis (Python / Excel / Pandas); Embedded systems / microcontrollers,3-4,Data Science / AI,Data Science / AI Internship,Data Science / AI,3.0,Data Analyst
ECE,Alumni (Graduated),9.83,4,3,4,1,3,5,3,3,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); MATLAB / Simulink; Machine Learning / Deep Learning,1-2,Data Science / AI,No internship,Consulting / Management,3.0,Data Scientist
Chemical,4th year student,7.28,3,2,1,4,2,2,2,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD),3-4,Robotics / Embedded Systems,No internship,Core Engineering,3.0,Manufacturing Engineer
ECE,Alumni (Graduated),7.56,1,5,1,3,3,1,3,4,CAD tools (SolidWorks / CATIA / AutoCAD); Circuit design tools; Embedded systems / microcontrollers; MATLAB / Simulink,1-2,Robotics / Embedded Systems,No internship,Embedded Systems / Electronics,3.0,Embedded Systems Engineer
AI,4th year student,8.02,5,3,2,4,4,3,2,1,CAD tools (SolidWorks / CATIA / AutoCAD); Circuit design tools; Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Embedded systems / microcontrollers; Machine Learning / Deep Learning,3-4,Data Science / AI,Data Science / AI Internship,Data Science / AI,4.0,Data Scientist
ECE,4th year student,7.46,3,2,5,3,5,4,2,3,Data Analysis (Python / Excel / Pandas),1-2,Software Development,No internship,Software Development,3.0,DevOps Engineer
Electrical,4th year student,7.23,4,3,5,1,4,4,2,3,Data Analysis (Python / Excel / Pandas),3-4,Robotics / Embedded Systems,Software Development Internship,Software Development,3.0,DevOps Engineer
Metallurgy,Alumni (Graduated),7.28,2,4,1,3,4,3,3,5,Circuit design tools; Embedded systems / microcontrollers; MATLAB / Simulink,3-4,Robotics / Embedded Systems,Electronics / Embedded Internship,Consulting / Management,5.0,Embedded Systems Engineer
Mechanical,4th year student,7.51,2,2,1,2,1,1,2,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); MATLAB / Simulink,5+,Core Engineering,Core Engineering Internship,Core Engineering,3.0,Civil Engineer
Electrical,Alumni (Graduated),5.88,5,3,4,3,4,5,4,4,CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas); Embedded systems / microcontrollers; MATLAB / Simulink,5+,Software Development,Software Development Internship,Software Development,1.0,DevOps Engineer
Chemical,4th year student,8.66,2,2,2,4,2,2,1,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Circuit design tools; Data Visualization (PowerBI / Tableau); MATLAB / Simulink,5+,Core Engineering,Core Engineering Internship,Core Engineering,3.0,Manufacturing Engineer
CSE,4th year student,7.7,3,3,3,4,3,1,4,4,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Circuit design tools; Data Visualization (PowerBI / Tableau); Embedded systems / microcontrollers; MATLAB / Simulink; Machine Learning / Deep Learning,5+,Robotics / Embedded Systems,Electronics / Embedded Internship,Software Development,3.0,Embedded Systems Engineer
AI,Alumni (Graduated),8.71,4,3,1,3,4,4,3,3,Circuit design tools; Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); MATLAB / Simulink; Machine Learning / Deep Learning,5+,Data Science / AI,Data Science / AI Internship,Core Engineering,4.0,Data Scientist
Mechanical,4th year student,5.58,3,2,1,4,2,1,2,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); MATLAB / Simulink,3-4,Core Engineering,Core Engineering Internship,Core Engineering,3.0,Mechanical Design Engineer
Chemical,Alumni (Graduated),8.12,3,2,1,3,2,1,2,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD),3-4,Core Engineering,Core Engineering Internship,Core Engineering,2.0,Manufacturing Engineer
AI,Alumni (Graduated),7.78,5,3,1,3,4,4,2,5,CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); MATLAB / Simulink; Machine Learning / Deep Learning,5+,Data Science / AI,No internship,Data Science / AI,3.0,Data Scientist
ECE,4th year student,7.43,2,4,1,3,1,1,3,3,Circuit design tools; Data Visualization (PowerBI / Tableau); Embedded systems / microcontrollers; MATLAB / Simulink,1-2,Robotics / Embedded Systems,No internship,Embedded Systems / Electronics,4.0,Embedded Systems Engineer
Mechanical,Alumni (Graduated),9.23,1,2,1,2,2,1,2,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Circuit design tools; Data Visualization (PowerBI / Tableau); Embedded systems / microcontrollers,5+,Core Engineering,Core Engineering Internship,Core Engineering,3.0,Civil Engineer
AI,4th year student,7.1,3,3,3,1,5,3,4,5,Data Analysis (Python / Excel / Pandas),1-2,Software Development,Software Development Internship,Software Development,3.0,Software Developer
ECE,Alumni (Graduated),7.53,5,3,2,2,2,5,2,2,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Machine Learning / Deep Learning,5+,Core Engineering,Data Science / AI Internship,Data Science / AI,4.0,Data Analyst
Metallurgy,4th year student,7.88,1,1,1,4,3,3,1,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Circuit design tools; Machine Learning / Deep Learning,1-2,Core Engineering,Core Engineering Internship,Core Engineering,2.0,Manufacturing Engineer
Civil,4th year student,6.73,2,2,2,2,1,2,1,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); MATLAB / Simulink,3-4,Robotics / Embedded Systems,Core Engineering Internship,Core Engineering,4.0,Civil Engineer
ECE,4th year student,7.55,4,4,4,1,3,2,4,3,CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas),5+,Software Development,Software Development Internship,Software Development,4.0,DevOps Engineer
Chemical,Alumni (Graduated),6.7,4,5,3,5,3,2,3,4,Circuit design tools; Embedded systems / microcontrollers; MATLAB / Simulink; Machine Learning / Deep Learning,3-4,Robotics / Embedded Systems,No internship,Embedded Systems / Electronics,5.0,Embedded Systems Engineer
Civil,4th year student,6.04,1,3,2,4,2,1,3,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Data Visualization (PowerBI / Tableau); MATLAB / Simulink; Machine Learning / Deep Learning,5+,Core Engineering,Core Engineering Internship,Core Engineering,3.0,Mechanical Design Engineer
CSE,4th year student,7.08,4,3,1,3,3,4,2,2,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Embedded systems / microcontrollers; MATLAB / Simulink; Machine Learning / Deep Learning,3-4,Data Science / AI,Data Science / AI Internship,Data Science / AI,3.0,Data Analyst
ECE,Alumni (Graduated),6.28,5,3,2,2,2,5,3,1,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Machine Learning / Deep Learning,1-2,Data Science / AI,Data Science / AI Internship,Data Science / AI,4.0,Data Analyst
AI,4th year student,8.49,5,3,2,3,4,3,3,3,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); MATLAB / Simulink; Machine Learning / Deep Learning,5+,Robotics / Embedded Systems,Data Science / AI Internship,Data Science / AI,4.0,Machine Learning Engineer
ECE,Alumni (Graduated),8.11,3,5,4,1,5,2,5,3,CAD tools (SolidWorks / CATIA / AutoCAD); Circuit design tools; Data Analysis (Python / Excel / Pandas),5+,Software Development,Software Development Internship,Software Development,5.0,Software Developer
Electrical,4th year student,8.04,3,4,1,4,3,2,1,4,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Circuit design tools; Embedded systems / microcontrollers; MATLAB / Simulink,5+,Mixed domains,Electronics / Embedded Internship,Embedded Systems / Electronics,3.0,Embedded Systems Engineer
Mechanical,4th year student,7.31,5,2,3,1,4,4,2,3,ANSYS / Simulation tools; Data Analysis (Python / Excel / Pandas),3-4,Software Development,Software Development Internship,Software Development,4.0,DevOps Engineer
ECE,Alumni (Graduated),7.85,5,3,1,4,4,4,4,3,Circuit design tools; Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Machine Learning / Deep Learning,5+,Data Science / AI,Software Development Internship,Core Engineering,4.0,Data Scientist
CSE,4th year student,6.84,4,5,3,5,4,2,2,3,Circuit design tools; Embedded systems / microcontrollers; MATLAB / Simulink,1-2,Robotics / Embedded Systems,Electronics / Embedded Internship,Embedded Systems / Electronics,3.0,Embedded Systems Engineer
Civil,Alumni (Graduated),5.78,2,2,1,3,2,3,3,1,ANSYS / Simulation tools; Data Visualization (PowerBI / Tableau); MATLAB / Simulink,0,Core Engineering,Core Engineering Internship,Core Engineering,3.0,Civil Engineer
ECE,Alumni (Graduated),7.92,4,5,4,1,5,3,4,3,Data Analysis (Python / Excel / Pandas),5+,Software Development,Software Development Internship,Software Development,3.0,Software Developer
AI,Alumni (Graduated),7.07,5,4,3,1,2,3,4,5,Data Analysis (Python / Excel / Pandas),3-4,Software Development,Software Development Internship,Software Development,3.0,DevOps Engineer
ECE,Alumni (Graduated),6.81,3,3,1,2,4,4,4,2,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau),3-4,Data Science / AI,Data Science / AI Internship,Data Science / AI,2.0,Data Analyst
CSE,4th year student,6.3,4,5,4,1,5,3,3,4,Data Analysis (Python / Excel / Pandas); Machine Learning / Deep Learning,5+,Software Development,No internship,Data Science / AI,4.0,Software Developer
ECE,4th year student,8.49,4,4,5,1,3,3,4,4,Data Analysis (Python / Excel / Pandas); Embedded systems / microcontrollers,3-4,Software Development,Software Development Internship,Software Development,3.0,Software Developer
ECE,4th year student,7.55,1,5,1,4,2,3,1,3,Circuit design tools; Embedded systems / microcontrollers; MATLAB / Simulink,5+,Robotics / Embedded Systems,Electronics / Embedded Internship,Embedded Systems / Electronics,3.0,Embedded Systems Engineer
CSE,4th year student,7.12,5,5,2,3,4,4,3,3,ANSYS / Simulation tools; Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); MATLAB / Simulink; Machine Learning / Deep Learning,1-2,Data Science / AI,Data Science / AI Internship,Data Science / AI,3.0,Data Scientist
Electrical,Alumni (Graduated),7.53,5,3,4,1,3,5,4,5,Data Analysis (Python / Excel / Pandas); Embedded systems / microcontrollers,5+,Software Development,Software Development Internship,Software Development,3.0,DevOps Engineer
Mechanical,4th year student,7.88,1,1,1,3,1,1,2,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Machine Learning / Deep Learning,1-2,Core Engineering,Core Engineering Internship,Core Engineering,3.0,Civil Engineer
Mechanical,Alumni (Graduated),7.11,2,3,2,4,1,3,1,1,CAD tools (SolidWorks / CATIA / AutoCAD); Machine Learning / Deep Learning,3-4,Data Science / AI,Core Engineering Internship,Core Engineering,3.0,Civil Engineer
Chemical,Alumni (Graduated),8.2,1,1,1,5,1,2,1,2,ANSYS / Simulation tools; Embedded systems / microcontrollers,1-2,Core Engineering,Core Engineering Internship,Core Engineering,2.0,Civil Engineer
ECE,Alumni (Graduated),9.47,5,5,5,2,5,4,4,3,Data Analysis (Python / Excel / Pandas); MATLAB / Simulink,1-2,Data Science / AI,Software Development Internship,Consulting / Management,2.0,Software Developer
AI,Alumni (Graduated),8.19,3,4,3,2,5,2,5,4,Data Analysis (Python / Excel / Pandas); Embedded systems / microcontrollers,3-4,Software Development,Software Development Internship,Software Development,3.0,Software Developer
Electrical,Alumni (Graduated),6.63,4,2,3,3,2,5,2,1,Circuit design tools; Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau),5+,Data Science / AI,Data Science / AI Internship,Data Science / AI,4.0,Data Analyst
AI,4th year student,8.61,5,2,1,5,4,4,4,2,CAD tools (SolidWorks / CATIA / AutoCAD); Circuit design tools; Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Machine Learning / Deep Learning,5+,Data Science / AI,No internship,Core Engineering,5.0,Data Scientist
Electrical,4th year student,7.37,1,4,3,3,4,3,3,3,Circuit design tools; Data Analysis (Python / Excel / Pandas); Embedded systems / microcontrollers; MATLAB / Simulink,3-4,Software Development,Electronics / Embedded Internship,Consulting / Management,4.0,Embedded Systems Engineer
ECE,Alumni (Graduated),6.99,5,4,3,1,5,2,4,3,Data Analysis (Python / Excel / Pandas),5+,Mixed domains,No internship,Software Development,5.0,Software Developer
Mechanical,4th year student,7.41,1,1,1,2,1,1,2,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD),1-2,Core Engineering,No internship,Core Engineering,4.0,Civil Engineer
ECE,4th year student,8.03,5,4,1,3,4,3,4,2,Data Analysis (Python / Excel / Pandas); MATLAB / Simulink; Machine Learning / Deep Learning,3-4,Data Science / AI,Data Science / AI Internship,Embedded Systems / Electronics,4.0,Machine Learning Engineer
Metallurgy,Alumni (Graduated),7.08,2,3,2,3,2,3,3,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD),0,Core Engineering,Core Engineering Internship,Core Engineering,4.0,Civil Engineer
AI,4th year student,8.09,4,4,3,3,4,3,5,3,ANSYS / Simulation tools; Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Embedded systems / microcontrollers; Machine Learning / Deep Learning,3-4,Data Science / AI,Data Science / AI Internship,Core Engineering,2.0,Data Scientist
ECE,Alumni (Graduated),8.2,4,4,3,5,5,3,4,2,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Embedded systems / microcontrollers; Machine Learning / Deep Learning,1-2,Data Science / AI,Data Science / AI Internship,Core Engineering,3.0,Machine Learning Engineer
ECE,Alumni (Graduated),8.74,5,4,4,2,4,4,2,3,CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas); Embedded systems / microcontrollers; Machine Learning / Deep Learning,5+,Data Science / AI,Data Science / AI Internship,Data Science / AI,3.0,Machine Learning Engineer
CSE,4th year student,8.34,2,2,3,3,4,3,2,3,ANSYS / Simulation tools; Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau),3-4,Data Science / AI,Data Science / AI Internship,Data Science / AI,5.0,Data Analyst
CSE,4th year student,8.23,2,4,3,1,5,3,4,4,Data Analysis (Python / Excel / Pandas); Embedded systems / microcontrollers; Machine Learning / Deep Learning,3-4,Software Development,Core Engineering Internship,Software Development,3.0,Software Developer
